IdCliente,CodGeografia,Nombre,Nombres2,Apellido,Nacimiento,EstadoCivil,Género,Ingresos,Hijos,Educación,Ocupación
27534,302,Candace,,Chapman,1964-07-21,S,F,60000,4,Bachiller,Obrero Calificado
26893,276,Sharon,A,Deng,1975-12-24,M,F,40000,1,Bachiller,Obrero Calificado
26898,187,Ashley,R,Simmons,1961-06-16,S,F,10000,1,Bachiller,Militar
12047,383,Alexandra,,Davis,1974-03-25,S,F,40000,0,EFP,Obrero Calificado
26419,163,Geoffrey,,Suri,1947-04-24,M,M,100000,3,Máster,Directivo
21177,21,Kara,S,Nath,1967-02-14,M,F,80000,5,ESO,Directivo
29115,35,Jacquelyn,,Munoz,1957-02-08,M,F,70000,2,Máster,Obrero Calificado
13447,337,Destiny,M,Cox,1962-05-04,M,F,130000,1,Bachiller,Directivo
11202,334,Alexia,L,Price,1947-08-26,M,F,80000,5,Bachiller,Directivo
16675,8,Kristi,W,Arthur,1959-06-17,S,F,160000,0,ESO,Directivo
20405,358,Isaiah,,Campbell,1978-07-03,S,M,70000,0,EFP,Obrero Calificado
25884,55,Elijah,S,Evans,1950-10-19,M,M,40000,2,Universitario,Obrero Calificado
20356,536,Louis,K,Lu,1935-07-08,M,M,40000,3,EFP,Profesional
26334,298,Ross,,Blanco,1966-04-04,S,M,80000,3,Bachiller,Obrero Calificado
18542,612,Dustin,E,She,1943-07-03,M,M,90000,5,Bachiller,Directivo
14816,241,Katherine,,Lewis,1965-10-24,M,F,40000,1,Bachiller,Obrero Calificado
12445,546,Cameron,T,Taylor,1957-03-27,M,M,40000,1,EFP,Funcionario
28951,27,Monica,J,Rodriguez,1972-03-25,M,F,90000,0,Bachiller,Profesional
12228,125,Mayra,D,Martinez,1957-08-26,M,F,20000,1,Bachiller,Funcionario
24281,9,Marie,,Suri,1954-04-13,S,F,40000,3,Universitario,Funcionario
29355,153,Virginia,,Fernandez,1968-11-03,M,F,40000,0,ESO,Funcionario
19660,368,Devin,,Hill,1963-02-04,M,M,80000,4,Bachiller,Directivo
20393,326,Kaitlyn,,White,1940-03-13,S,F,80000,4,Bachiller,Directivo
12128,123,Kristy,E,Munoz,1956-12-16,M,F,120000,3,Máster,Profesional
24451,637,Bailey,,Morgan,1949-07-23,M,F,30000,4,Máster,Profesional
27592,10,Hector,,Ruiz,1967-11-27,S,M,70000,5,Bachiller,Profesional
18112,360,Sophia,D,Gonzalez,1951-05-23,M,F,70000,4,EFP,Profesional
23491,644,Miguel,C,Taylor,1961-05-26,S,M,100000,3,EFP,Profesional
24031,266,Tammy,,Suri,1970-04-25,M,F,20000,0,EFP,Militar
16402,262,Alexander,K,Martin,1967-10-03,S,M,30000,1,Bachiller,Funcionario
15161,352,Trinity,A,James,1942-08-16,S,F,90000,5,Bachiller,Directivo
24501,50,Victoria,V,Garcia,1979-04-28,S,F,30000,0,Universitario,Funcionario
23960,131,Eugene,,Zheng,1975-12-07,S,M,30000,0,EFP,Funcionario
11820,69,Katelyn,,Lopez,1966-08-26,M,F,60000,0,ESO,Profesional
23319,368,Luis,,Green,1978-10-12,M,M,70000,0,EFP,Obrero Calificado
23471,372,Jeremy,,Baker,1956-04-27,M,M,70000,3,EFP,Profesional
21552,20,Francis,,Alvarez,1975-11-19,M,M,80000,0,Bachiller,Profesional
18063,358,Alexandria,C,Ward,1944-06-19,S,F,70000,4,Bachiller,Directivo
19406,548,Brooke,,Travers,1960-10-08,M,F,60000,1,EFP,Obrero Calificado
25214,28,Roger,,Chander,1963-02-04,S,M,70000,0,Bachiller,Profesional
14677,13,Ross,,Hernandez,1966-10-10,S,M,80000,5,ESO,Directivo
22816,172,Erica,,Cai,1946-06-07,M,F,120000,4,Bachiller,Directivo
19069,220,Thomas,,Hall,1950-07-12,M,M,90000,4,Máster,Directivo
19964,29,Gloria,S,Alonso,1973-06-11,S,F,120000,0,Universitario,Profesional
18851,337,Dalton,E,Cook,1954-10-16,M,M,80000,2,Universitario,Obrero Calificado
19042,127,Ronnie,W,Cai,1945-05-12,M,M,80000,5,EFP,Profesional
11488,256,Jermaine,,Lopez,1971-09-21,S,M,20000,0,Universitario,Militar
19788,20,Kristen,C,Hu,1956-06-18,S,F,80000,2,Máster,Obrero Calificado
17925,3,Bradley,E,Raji,1977-09-20,S,M,20000,0,Bachiller,Funcionario
13574,128,Brenda,,Garcia,1968-03-03,S,F,20000,1,EFP,Militar
15526,70,Isabelle,A,Flores,1964-06-19,S,F,50000,4,Bachiller,Obrero Calificado
24379,20,Noah,A,Jenkins,1965-06-23,S,M,70000,0,Bachiller,Profesional
29125,648,Andrea,D,Reed,1974-12-10,M,F,60000,0,EFP,Profesional
27947,134,Alison,,Andersen,1953-10-10,S,F,110000,2,EFP,Profesional
17052,3,Rafael,J,Nara,1968-04-21,M,M,70000,5,Bachiller,Profesional
14651,552,Amber,,Green,1960-05-14,M,F,60000,1,EFP,Obrero Calificado
13411,229,Jacquelyn,,Blanco,1955-07-03,M,F,130000,3,EFP,Profesional
27369,22,Pamela,C,Raman,1970-10-19,M,F,110000,0,Máster,Directivo
27228,618,Amanda,,Young,1958-03-20,M,F,40000,1,EFP,Funcionario
24995,69,Melissa,S,Peterson,1953-11-19,S,F,60000,3,Máster,Profesional
12073,334,Thomas,G,Rodriguez,1944-08-23,M,M,70000,4,Bachiller,Directivo
21436,611,Brandi,,Serrano,1962-10-27,S,F,70000,1,Bachiller,Profesional
20845,115,Barry,,Malhotra,1959-05-21,M,M,30000,3,Bachiller,Funcionario
23816,312,Natalie,,Johnson,1959-06-25,S,F,40000,2,EFP,Funcionario
12216,258,Gerald,,Rodriguez,1962-04-02,M,M,20000,1,ESO,Funcionario
14919,311,Erik,J,Torres,1958-10-26,M,M,80000,4,ESO,Obrero Calificado
27312,172,Sandra,L,Sun,1944-12-28,S,F,110000,3,Bachiller,Directivo
24036,174,Jay,,Vazquez,1969-12-27,S,M,20000,0,EFP,Militar
17513,26,Micheal,,Saunders,1956-03-03,S,M,70000,2,Máster,Obrero Calificado
22364,360,Katherine,E,Jenkins,1958-09-20,M,F,80000,5,ESO,Obrero Calificado
12118,298,Miguel,L,Sanchez,1951-01-27,M,F,60000,2,EFP,Profesional
21394,40,Gabriella,,Parker,1954-11-24,S,F,70000,2,EFP,Obrero Calificado
17903,232,Bethany,C,Shen,1942-02-12,M,F,30000,1,Bachiller,Funcionario
21663,177,Kenneth,,Goel,1972-08-16,S,M,20000,0,Universitario,Militar
11148,22,Ross,,Vazquez,1941-08-16,M,M,40000,2,Bachiller,Directivo
20728,224,Cedric,J,Chande,1970-12-14,S,M,40000,2,EFP,Funcionario
25488,238,Dawn,,Ye,1965-11-18,M,F,40000,1,Bachiller,Obrero Calificado
21719,543,Morgan,,Torres,1959-11-26,S,F,60000,4,ESO,Obrero Calificado
25982,648,Rebecca,,Phillips,1963-04-17,S,F,70000,0,Bachiller,Profesional
18862,300,Luke,,Zhang,1954-09-22,M,M,70000,3,Máster,Profesional
17571,310,James,A,Li,1969-05-26,M,M,50000,1,Bachiller,Obrero Calificado
12796,611,Jason,L,Zhang,1959-03-08,M,M,60000,4,ESO,Obrero Calificado
15424,300,Rebecca,C,Hill,1979-06-12,S,F,30000,0,EFP,Obrero Calificado
11239,249,Latoya,C,Goel,1958-10-06,M,F,130000,2,EFP,Profesional
20002,299,Elizabeth,A,White,1970-05-06,M,F,70000,4,ESO,Profesional
12219,188,Kurt,,Nara,1961-04-14,M,M,10000,1,Bachiller,Militar
24314,314,Bryan,,Howard,1966-03-28,M,M,120000,2,Bachiller,Directivo
12989,3,Carly,C,Goel,1969-11-13,M,F,100000,1,ESO,Directivo
17924,39,Shawna,,Lal,1977-11-18,S,F,10000,1,Máster,Militar
13337,638,Lauren,D,Cox,1942-05-09,M,F,80000,5,Bachiller,Directivo
18001,164,Ross,J,Suri,1963-07-14,S,M,20000,3,Máster,Militar
